TransactionId,Hour,VoidsAmount,IsVoidFollowedByDrawerOpen,IsVoided,IsReturn,IsReceiptReprinted,NonScannedItems,ManualOverrideAmount,ReturnsAmount,PriceLookupTrxTotalAmount,VoidedItemsAmount,DiscountAmount,IsTrainingMode,TotalAmount,ItemCount,StoreId,BusinessDate,MaxWeightToPriceRatioItemId,IsFraud
tr113,12,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,24.13,6,15,09/04/2023,2.07E+11,FALSE
tr114,13,0,FALSE,FALSE,FALSE,FALSE,5,0,0,0,0,0,FALSE,21.24,13,33,09/05/2023,40480,FALSE
tr115,15,0,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0,0,FALSE,13.23,6,28,09/05/2023,40320,FALSE
tr116,14,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,13.16,7,17,09/05/2023,2.04E+11,FALSE
tr117,16,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,14.41,8,38,09/07/2023,2.07E+11,FALSE
tr118,15,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,54.65,13,19,09/05/2023,2.02E+11,FALSE
tr119,12,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,12.9,9,18,09/06/2023,2.07E+11,FALSE
tr120,11,0,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0,0,FALSE,67.89,18,43,09/01/2023,74200,FALSE
tr121,13,0,FALSE,FALSE,FALSE,FALSE,3,0,0,0,0,0,FALSE,26.34,14,14,09/04/2023,2.04E+11,FALSE
tr122,13,0,FALSE,FALSE,FALSE,FALSE,4,0,0,0,0,0,FALSE,27.09,10,12,09/05/2023,40630,FALSE
tr123,13,0,FALSE,FALSE,FALSE,FALSE,3,0,0,0,0,0,FALSE,15.42,7,11,09/06/2023,48800,FALSE
tr124,16,0,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0,0,FALSE,20.62,7,12,09/05/2023,31070,FALSE
tr125,13,0,FALSE,FALSE,FALSE,FALSE,4,0,0,0,0,0,FALSE,28.37,13,45,09/06/2023,2.02E+11,FALSE
tr126,14,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,12.23,7,15,09/01/2023,2.04E+11,FALSE
tr127,12,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,26.04,16,27,09/05/2023,2.01E+11,FALSE
tr128,12,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,3.5,3,25,09/05/2023,,FALSE
tr129,11,0,FALSE,FALSE,FALSE,FALSE,3,0,0,0,0,0,FALSE,16.63,8,25,09/04/2023,2.02E+11,FALSE
tr130,16,0,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0,0,FALSE,14,6,35,09/07/2023,2.04E+11,FALSE
tr131,15,0,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0,0,FALSE,20.58,10,41,09/01/2023,2.07E+11,FALSE
tr132,15,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,14.32,9,42,09/01/2023,2.07E+11,FALSE
tr133,15,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,4.04,4,4,09/07/2023,,FALSE
tr134,12,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,11.62,6,24,09/01/2023,,FALSE
tr135,16,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,12.82,5,24,09/05/2023,2.02E+11,FALSE
tr136,12,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,4.06,3,2,09/06/2023,2.07E+11,FALSE
tr137,16,0,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0,0,FALSE,18.11,9,26,09/07/2023,2.02E+11,FALSE
tr138,12,0,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0,0,FALSE,19.04,5,45,09/07/2023,45920,FALSE
tr139,15,0,FALSE,FALSE,FALSE,FALSE,4,0,0,0,0,0,FALSE,10.08,6,2,09/06/2023,40480,FALSE
tr140,15,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,12.2,7,28,09/06/2023,2.02E+11,FALSE
tr141,14,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,13.67,8,32,09/01/2023,,FALSE
tr142,11,0,FALSE,FALSE,FALSE,FALSE,3,0,0,0,0,0,FALSE,20.83,7,17,09/06/2023,2.02E+11,FALSE
tr143,14,0,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0,0,FALSE,17.43,12,43,09/06/2023,44320,FALSE
tr144,11,0,FALSE,FALSE,FALSE,FALSE,3,0,0,0,0,0,FALSE,48.46,14,32,09/04/2023,2.01E+11,FALSE
tr145,13,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,9.26,7,4,09/01/2023,40480,FALSE
tr146,12,0,FALSE,FALSE,FALSE,FALSE,4,0,0,0,0,0,FALSE,6.91,5,38,09/04/2023,940110,FALSE
tr147,16,0,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0,0,FALSE,16.18,7,31,09/05/2023,40380,FALSE
tr148,15,0,FALSE,FALSE,FALSE,FALSE,5,0,0,0,0,0,FALSE,12.07,7,4,09/05/2023,42350,FALSE
tr149,11,0,FALSE,FALSE,FALSE,FALSE,3,0,0,0,0,0,FALSE,15.22,9,35,09/06/2023,40420,FALSE
tr150,12,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,8.09,5,2,09/06/2023,,FALSE
tr151,13,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,22.41,11,5,09/06/2023,2.07E+11,FALSE
tr152,15,0,FALSE,FALSE,FALSE,FALSE,3,0,0,0,0,0,FALSE,71.14,22,37,09/07/2023,2.04E+11,FALSE
tr153,15,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,7.32,4,41,09/01/2023,,FALSE
tr154,11,0,FALSE,FALSE,FALSE,FALSE,4,0,0,0,0,0,FALSE,13,7,4,09/06/2023,47610,FALSE
tr155,16,0,FALSE,FALSE,FALSE,FALSE,3,0,0,0,0,0,FALSE,7.12,5,26,09/01/2023,40800,FALSE
tr156,15,0,FALSE,FALSE,FALSE,FALSE,4,0,0,0,0,0,FALSE,17.26,9,10,09/07/2023,2.04E+11,FALSE
tr157,15,0,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0,0,FALSE,35.04,12,37,09/05/2023,2.03E+11,FALSE
tr158,14,0,FALSE,FALSE,FALSE,FALSE,3,0,0,0,0,0,FALSE,54.78,15,14,09/05/2023,2.02E+11,FALSE
tr159,11,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,11.52,8,34,09/07/2023,2.07E+11,FALSE
tr160,14,0,FALSE,FALSE,FALSE,FALSE,3,0,0,0,0,0,FALSE,6.75,5,11,09/05/2023,45000,FALSE
tr161,15,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,6.33,4,3,09/06/2023,,FALSE
tr162,13,0,FALSE,FALSE,FALSE,FALSE,5,0,0,0,0,0,FALSE,19.67,10,15,09/01/2023,2.05E+11,FALSE
tr163,13,0,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0,0,FALSE,36.78,14,36,09/01/2023,2.09E+11,FALSE
tr164,11,0,FALSE,FALSE,FALSE,FALSE,3,0,0,0,0,0,FALSE,6.42,6,10,09/04/2023,40930,FALSE
tr165,11,0,FALSE,FALSE,FALSE,FALSE,4,0,0,0,0,0,FALSE,17.31,12,28,09/05/2023,31120,FALSE
tr166,11,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,11.88,4,9,09/04/2023,2.03E+11,FALSE
tr167,13,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,4.92,3,5,09/06/2023,,FALSE
